T_C,RH_pct,P_Pa,rho_kg_m3
5.0,40.0,100000.0,1.2508067306171913
5.0,60.0,100000.0,1.2499807882251044
5.0,80.0,100000.0,1.2491548458330177
5.0,100.0,100000.0,1.2483289034409306
10.0,0.0,100000.0,1.2303420938509257
10.0,20.0,100000.0,1.2291999361488881
10.0,40.0,100000.0,1.2280577784468505
10.0,60.0,100000.0,1.2269156207448129
10.0,80.0,100000.0,1.2257734630427755
10.0,100.0,100000.0,1.2246313053407378
15.0,0.0,100000.0,1.2089931073187214
15.0,20.0,100000.0,1.2074344471608571
15.0,40.0,100000.0,1.205875787002993
15.0,60.0,100000.0,1.2043171268451283
15.0,80.0,100000.0,1.2027584666872642
15.0,100.0,100000.0,1.2011998065293998
20.0,0.0,100000.0,1.188372382309021
20.0,20.0,100000.0,1.186271680813139
20.0,40.0,100000.0,1.1841709793172568
20.0,60.0,100000.0,1.1820702778213747
20.0,80.0,100000.0,1.179969576325493
20.0,100.0,100000.0,1.177868874829611
25.0,0.0,100000.0,1.1684432798050965
25.0,20.0,100000.0,1.165645088659136
25.0,40.0,100000.0,1.1628468975131758
25.0,60.0,100000.0,1.1600487063672151
25.0,80.0,100000.0,1.1572505152212549
25.0,100.0,100000.0,1.1544523240752942
30.0,0.0,100000.0,1.1491715780105214
30.0,20.0,100000.0,1.1454853719364866
30.0,40.0,100000.0,1.1417991658624518
30.0,60.0,100000.0,1.1381129597884172
30.0,80.0,100000.0,1.1344267537143822
30.0,100.0,100000.0,1.1307405476403476
35.0,0.0,100000.0,1.1305252762417315
35.0,20.0,100000.0,1.125719774010663
35.0,40.0,100000.0,1.1209142717795946
35.0,60.0,100000.0,1.1161087695485263
35.0,80.0,100000.0,1.1113032673174579
35.0,100.0,100000.0,1.1064977650863894
40.0,0.0,100000.0,1.1124744176078223
40.0,20.0,100000.0,1.1062713968836277
40.0,40.0,100000.0,1.1000683761594332
40.0,60.0,100000.0,1.0938653554352387
40.0,80.0,100000.0,1.087662334711044
40.0,100.0,100000.0,1.0814593139868496
0.0,0.0,105000.0,1.3391540621181919
0.0,20.0,105000.0,1.33856514345761
0.0,40.0,105000.0,1.3379762247970286
0.0,60.0,105000.0,1.3373873061364472
0.0,80.0,105000.0,1.3367983874758655
0.0,100.0,105000.0,1.336209468815284
5.0,0.0,105000.0,1.315081546171433
5.0,20.0,105000.0,1.314255603779346
5.0,40.0,105000.0,1.3134296613872596
5.0,60.0,105000.0,1.3126037189951727
5.0,80.0,105000.0,1.311777776603086
5.0,100.0,105000.0,1.310951834210999
10.0,0.0,105000.0,1.291859198543472
10.0,20.0,105000.0,1.2907170408414346
10.0,40.0,105000.0,1.2895748831393967
10.0,60.0,105000.0,1.2884327254373593
10.0,80.0,105000.0,1.2872905677353217
10.0,100.0,105000.0,1.286148410033284
15.0,0.0,105000.0,1.2694427626846576
15.0,20.0,105000.0,1.2678841025267933
15.0,40.0,105000.0,1.266325442368929
15.0,60.0,105000.0,1.2647667822110644
15.0,80.0,105000.0,1.2632081220532003
15.0,100.0,105000.0,1.2616494618953358
20.0,0.0,105000.0,1.2477910014244722
20.0,20.0,105000.0,1.2456902999285902
20.0,40.0,105000.0,1.2435895984327079
20.0,60.0,105000.0,1.2414888969368258
20.0,80.0,105000.0,1.239388195440944
20.0,100.0,105000.0,1.237287493945062
25.0,0.0,105000.0,1.2268654437953515
25.0,20.0,105000.0,1.224067252649391
25.0,40.0,105000.0,1.2212690615034305
25.0,60.0,105000.0,1.21847087035747
25.0,80.0,105000.0,1.2156726792115096
25.0,100.0,105000.0,1.212874488065549
30.0,0.0,105000.0,1.2066301569110474
30.0,20.0,105000.0,1.2029439508370126
30.0,40.0,105000.0,1.1992577447629778
30.0,60.0,105000.0,1.1955715386889432
30.0,80.0,105000.0,1.1918853326149084
30.0,100.0,105000.0,1.1881991265408736
35.0,0.0,105000.0,1.187051540053818
35.0,20.0,105000.0,1.1822460378227497
35.0,40.0,105000.0,1.177440535591681
35.0,60.0,105000.0,1.1726350333606128
35.0,80.0,105000.0,1.1678295311295446
35.0,100.0,105000.0,1.163024028898476
40.0,0.0,105000.0,1.1680981384882134
40.0,20.0,105000.0,1.1618951177640189
40.0,40.0,105000.0,1.1556920970398243
40.0,60.0,105000.0,1.1494890763156298
40.0,80.0,105000.0,1.143286055591435
40.0,100.0,105000.0,1.1370830348672407
